Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Number of doctoral degrees awarded in academic year 2013,Number of doctoral degrees awarded in academic year 2014,Number of doctoral degrees awarded in academic year 2015,Number of doctoral degrees awarded in academic year 2016,Number of doctoral degrees awarded in academic year 2017,Number of doctoral degrees awarded in academic year 2018,Number of doctoral degrees awarded in academic year 2019
10007802,University of Reading,D,29,Classics,,,,2,1,3,2,3,3,4
10007802,University of Reading,D,30,Philosophy,,,,5,2,4,9,1.5,2.5,5
10007802,University of Reading,D,32,"Art and Design: History, Practice and Theory",A,Art,,3,3,5,2,3,5.5,5
10007802,University of Reading,D,32,"Art and Design: History, Practice and Theory",B,Typography and Graphic Communication,,4,0,2.5,1,4,5,3
10007802,University of Reading,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,3,5,1,4,2.5,0,3
10005500,Robert Gordon University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,4,6,6,5,8,6,11
10005500,Robert Gordon University,B,11,Computer Science and Informatics,,,,2,7,4,4,6,3,4
10005500,Robert Gordon University,B,12,Engineering,,,,5,3,12,6,6,6,15
10005500,Robert Gordon University,C,13,"Architecture, Built Environment and Planning",,,,2,1,2,4,2,1,5
10005500,Robert Gordon University,C,17,Business and Management Studies,,,,11,8,4,10,7,2,7
10005500,Robert Gordon University,D,32,"Art and Design: History, Practice and Theory",,,,1,2,2,1,0,0,1
10005500,Robert Gordon University,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,2,2,3,6,6,4,3
10007776,Roehampton University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,2,3,1,0,2,5,5
10007776,Roehampton University,A,4,"Psychology, Psychiatry and Neuroscience",,,,6,6,6,7,21,16,21
10007776,Roehampton University,C,17,Business and Management Studies,,,,0,3,2,5,3,3,1
10007776,Roehampton University,C,21,Sociology,,,,0,1,0,2,4,2,3
10007776,Roehampton University,C,23,Education,,,,7,4,6,3,4,4,7
10007776,Roehampton University,D,27,English Language and Literature,,,,1,3,1,3,10,6,4
10007776,Roehampton University,D,28,History,,,,0,0,2,1,0,2,2
10007776,Roehampton University,D,31,Theology and Religious Studies,,,,0,1,0,2,3,0,2
10007776,Roehampton University,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",A,Dance,,2,1,3,3,6,6,1
10007776,Roehampton University,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",B,Drama,,4,3,4,5,3,6,4
10007776,Roehampton University,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,5,0,2,3,2,3,3
10005523,Rose Bruford College,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,0,0,0,0,0,0,0
10007835,Royal Academy of Music,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,2,5,6,1,6,5,1
10005545,Royal Agricultural University,A,6,"Agriculture, Food and Veterinary Sciences",,,,5,0,2,0,6,2,2
10007816,Royal Central School of Speech and Drama,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,5,7,3,3,5,7,5
10007777,Royal College of Art,D,32,"Art and Design: History, Practice and Theory",,,,13,19,19,28,26,26,39
10007778,Royal College of Music,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,8,6,5,4,8,10,4
10005561,Royal Conservatoire of Scotland,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,2,2,1,3,2,2,3
10005553,Royal Holloway,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,0,2,0,2,1.97,1,1
10005553,Royal Holloway,A,4,"Psychology, Psychiatry and Neuroscience",,,,6,4,5,8,6.03,3,10
10005553,Royal Holloway,A,5,Biological Sciences,,,,12,14,8,10.5,14.47,16,19.4
10005553,Royal Holloway,B,7,Earth Systems and Environmental Sciences,,,,11,19,12.2,10,13,20.5,9.2
10005553,Royal Holloway,B,9,Physics,,,,12,7,11,11,12,9,7
10005553,Royal Holloway,B,10,Mathematical Sciences,,,,3,4,6,6,0,4,1
10005553,Royal Holloway,B,11,Computer Science and Informatics,,,,8,12.5,16,13,19.5,18.5,12.66
10005553,Royal Holloway,B,12,Engineering,,,,0,0,0,0,0,0,0
10005553,Royal Holloway,C,14,Geography and Environmental Studies,,,,12,16,17.8,9.25,15.63,16.5,7.9
10005553,Royal Holloway,C,16,Economics and Econometrics,,,,2,7,5,4,4,9,4
10005553,Royal Holloway,C,17,Business and Management Studies,,,,12,14,10,14,18.5,10,17.84
10005553,Royal Holloway,C,19,Politics and International Studies,,,,1,7,5,7,5,6.5,2
10005553,Royal Holloway,C,20,Social Work and Social Policy,,,,4,2,3,4.25,3,6,4.5
10005553,Royal Holloway,D,26,Modern Languages and Linguistics,,,,6,6.5,4,6,3.5,8.5,5
10005553,Royal Holloway,D,27,English Language and Literature,,,,21,16,18,14,17.6,14,6.5
10005553,Royal Holloway,D,28,History,,,,17.5,16,12.5,19,18.5,13.9,16.5
10005553,Royal Holloway,D,30,Philosophy,,,,1,4,2,3,6.5,3,4
10005553,Royal Holloway,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,18,17.5,7.5,24,20.4,16.5,15.5
10005553,Royal Holloway,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,1.5,8.5,4,2,10.4,6.1,4
10007837,Royal Northern College of Music,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,3,3,2,2,5,3,6
10007779,Royal Veterinary College,A,6,"Agriculture, Food and Veterinary Sciences",,,,26,29,24,29,26,21,26
10007156,University of Salford,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,15,38,23,29,33,37,27
10007156,University of Salford,B,7,Earth Systems and Environmental Sciences,,,,3,10,7,2,17,10,12
10007156,University of Salford,B,11,Computer Science and Informatics,,,,4,6,9,8,22,10,4
10007156,University of Salford,B,12,Engineering,,,,9,16,8,8,32,13,9
10007156,University of Salford,C,13,"Architecture, Built Environment and Planning",,,,46,40,31,39,40,35,17
10007156,University of Salford,C,17,Business and Management Studies,,,,15,19,22,28,29,20,18
10007156,University of Salford,C,20,Social Work and Social Policy,,,,3,4,1,3,5,8,4
10007156,University of Salford,D,25,Area Studies,,,,7,6,6,3,2,2,1
10007156,University of Salford,D,27,English Language and Literature,,,,11,9,4,2,4,3,2
10007156,University of Salford,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,7,4,7,4,4,6,1
10007156,University of Salford,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,11,10,8,5,9,7,5
10007780,SOAS,C,17,Business and Management Studies,,,,1,1,4,5,4,7,3
10007780,SOAS,C,18,Law,,,,6,13,10,12,16,10,6
10007780,SOAS,C,19,Politics and International Studies,,,,9,9,16,14,16,10,9
10007780,SOAS,C,22,Anthropology and Development Studies,A,22A Anthropology,,11,8,16,11,15,10,6
10007780,SOAS,C,22,Anthropology and Development Studies,B,22B Development Studies,,29,25,32,21,25,19,13
10007780,SOAS,D,25,Area Studies,,,,10,5,5,4,4,7,4
10007780,SOAS,D,26,Modern Languages and Linguistics,,,,9,10,20,23,19,27,12
10007780,SOAS,D,28,History,,,,11,9,9,9,12,16,2
10007780,SOAS,D,31,Theology and Religious Studies,,,,14,7,9,8,12,14,5
10007780,SOAS,D,32,"Art and Design: History, Practice and Theory",,,,4,6,9,12,11,5,3
10007780,SOAS,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,4,5,4,6,2,8,4
10007780,SOAS,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,5,4,11,8,8,12,3
10007157,University of Sheffield,A,1,Clinical Medicine,,,,33.5,54.83,51.67,38.5,55,57.67,36.83
10007157,University of Sheffield,A,2,"Public Health, Health Services and Primary Care",,,,9.5,11,19.83,11.33,24.67,13.17,11
10007157,University of Sheffield,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,47.83,52.67,51,59.33,76.17,54.33,49.17
10007157,University of Sheffield,A,4,"Psychology, Psychiatry and Neuroscience",,,,32,36.33,32,23.33,35,39.83,37.83
10007157,University of Sheffield,A,5,Biological Sciences,,,,49,49.33,37.83,43.67,67.67,54,52.17
10007157,University of Sheffield,B,8,Chemistry,,,,32.33,27.83,43,25.17,31.83,33.33,39.83
10007157,University of Sheffield,B,9,Physics,,,,16,15,20,15.25,20.83,32.5,26.5
10007157,University of Sheffield,B,10,Mathematical Sciences,,,,15.5,16,12.5,18.75,22.5,20.5,22.33
10007157,University of Sheffield,B,11,Computer Science and Informatics,,,,11,12.83,13.33,23.83,25.17,13,17.5
10007157,University of Sheffield,B,12,Engineering,,,,137.33,147.17,154,204.75,191.17,260,205.67
10007157,University of Sheffield,C,13,"Architecture, Built Environment and Planning",,,,22.5,29,35.33,25,27.5,27,32.67
10007157,University of Sheffield,C,14,Geography and Environmental Studies,,,,11,12,9.83,8.25,9.5,12.5,14
10007157,University of Sheffield,C,15,Archaeology,,,,9,9.5,8.5,11.5,2.5,9.5,10
10007157,University of Sheffield,C,17,Business and Management Studies,,,,10.5,12.5,26.5,19.83,20.67,25.5,25
10007157,University of Sheffield,C,18,Law,,,,5.5,5.5,6.5,10.5,4.5,3.5,9.5
10007157,University of Sheffield,C,19,Politics and International Studies,,,,10,7.5,14.83,8.5,13,11.5,9.17
10007157,University of Sheffield,C,21,Sociology,,,,7,2.33,10.5,9,3.5,9.83,14.5
10007157,University of Sheffield,C,23,Education,,,,33,48,36,50.5,55,41.5,44.5
10007157,University of Sheffield,D,25,Area Studies,,,,1.5,3,2,6,3,4.5,1.5
10007157,University of Sheffield,D,26,Modern Languages and Linguistics,,,,3,4.5,5,6.5,5,7.33,5
10007157,University of Sheffield,D,27,English Language and Literature,,,,18.33,12.83,19.5,13.83,11.5,25.17,21.5
10007157,University of Sheffield,D,28,History,,,,5.83,12.17,7,6.33,9.5,11.5,13.5
10007157,University of Sheffield,D,30,Philosophy,,,,7.83,10.67,8,8.83,10.5,13.83,5.83
10007157,University of Sheffield,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,5,4.5,5,11,4.83,12.5,6.5
10007157,University of Sheffield,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,10,12,17.33,11.5,13.5,7,11
10005790,Sheffield Hallam University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,7,8,5,6,9,7.2,7
10005790,Sheffield Hallam University,A,4,"Psychology, Psychiatry and Neuroscience",,,,1,2,2,0,2,3,2
10005790,Sheffield Hallam University,A,5,Biological Sciences,,,,8,11,9,13,7,11,7
10005790,Sheffield Hallam University,B,11,Computer Science and Informatics,,,,4,4,5,1,11,10,5
10005790,Sheffield Hallam University,B,12,Engineering,,,,9,13,11,9,14,13,8
10005790,Sheffield Hallam University,C,13,"Architecture, Built Environment and Planning",,,,9,7,5,3,5,3,1
10005790,Sheffield Hallam University,C,17,Business and Management Studies,,,,8,11,10,12,11,14,8
10005790,Sheffield Hallam University,C,20,Social Work and Social Policy,,,,1,1,3,0,0,3,3
10005790,Sheffield Hallam University,C,23,Education,,,,8,11,11,10,11,9,10
10005790,Sheffield Hallam University,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,10,8,9,4,16,14,10
10005790,Sheffield Hallam University,D,27,English Language and Literature,,,,1,2,4,2,5,6,1
10005790,Sheffield Hallam University,D,28,History,,,,2,2,1,2,1,2,4
10005790,Sheffield Hallam University,D,32,"Art and Design: History, Practice and Theory",,,,1,4,2,0,1,3,3
10005790,Sheffield Hallam University,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,4,6,2,7,2,2,7
10006022,Solent University,C,20,Social Work and Social Policy,,,,1,0,0,3,0,0,0
10006022,Solent University,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,0,0,0,0,0,2,0
10006022,Solent University,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,0,0,0,1,0,0,0
10007793,University of South Wales,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,3,8,4,7,4,4,9
10007793,University of South Wales,B,7,Earth Systems and Environmental Sciences,,,,1,0,2,0,0,2,1
10007793,University of South Wales,B,10,Mathematical Sciences,,,,0,0,1,1,1,3,1
10007793,University of South Wales,B,11,Computer Science and Informatics,,,,4,8,5,3,6,6,1
10007793,University of South Wales,B,12,Engineering,,,,5,11,12,10,7,4,2
10007793,University of South Wales,C,17,Business and Management Studies,,,,20,8,12,9,11,8,8
10007793,University of South Wales,C,20,Social Work and Social Policy,,,,1,3,6,2,8,4,4
10007793,University of South Wales,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,3,0,1,3,1,0,2
10007793,University of South Wales,D,27,English Language and Literature,,,,2,4,2,0,1,2,3
10007793,University of South Wales,D,28,History,,,,2,1,4,0,1,0,0
10007793,University of South Wales,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",A,"A � Faculty of Creative Industries, University of South Wales",,6,4,3,13,5,8,5
10007793,University of South Wales,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",B,B � Royal Welsh College of Music and Drama,,0,0,0,0,0,0,0
10007158,University of Southampton,A,1,Clinical Medicine,,,,37.1,34.8,53.55,62.7,55.95,54.95,48.8
10007158,University of Southampton,A,2,"Public Health, Health Services and Primary Care",,,,1.3,1.5,1.9,3.5,3.65,2.8,1.25
10007158,University of Southampton,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,11.15,14.8,17.85,9.7,24.3,16.7,19.8
10007158,University of Southampton,A,4,"Psychology, Psychiatry and Neuroscience",,,,36.85,29.9,27.85,36.9,36.45,31.9,33.2
10007158,University of Southampton,A,5,Biological Sciences,,,,12.05,7.9,18.6,18.6,23,24.25,19.6
10007158,University of Southampton,B,7,Earth Systems and Environmental Sciences,,,,25.7,35.4,42.6,37.25,50.55,39.45,33.1
10007158,University of Southampton,B,8,Chemistry,,,,41.15,36.1,43.8,35.95,51.3,30.6,33.5
10007158,University of Southampton,B,9,Physics,,,,16,12.7,15.6,26.7,27.45,17.55,18.15
10007158,University of Southampton,B,10,Mathematical Sciences,,,,11.7,19,23.95,20.65,20.9,18.4,16.35
10007158,University of Southampton,B,11,Computer Science and Informatics,,,,22.5,34.75,24,37.65,46.75,38.55,36.7
10007158,University of Southampton,B,12,Engineering,,,,133.15,141.8,171.55,185.55,146.1,155.6,135.9
10007158,University of Southampton,C,14,Geography and Environmental Studies,,,,9.5,8.3,7.6,14.35,14.1,11.15,10.45
10007158,University of Southampton,C,15,Archaeology,,,,4.5,11.45,13.4,15.1,15.7,18.4,9.7
10007158,University of Southampton,C,16,Economics and Econometrics,,,,6,3,4,6,4.45,5.85,6
10007158,University of Southampton,C,17,Business and Management Studies,,,,18.2,30,20,20.3,26.25,29.05,15.85
10007158,University of Southampton,C,18,Law,,,,4.3,14,7.15,6,9.1,7.9,8
10007158,University of Southampton,C,19,Politics and International Studies,,,,0,8.5,5.8,3.9,5.5,5.1,5.5
10007158,University of Southampton,C,20,Social Work and Social Policy,,,,13.15,13.1,13.1,10.1,15.6,12.4,18.7
10007158,University of Southampton,C,23,Education,,,,23,14.6,11.1,24.8,19.7,19.6,12.65
10007158,University of Southampton,D,26,Modern Languages and Linguistics,,,,12.6,9.65,13.8,16.4,16.3,15.75,15.1
10007158,University of Southampton,D,27,English Language and Literature,,,,6.85,7.15,11.1,6.75,13.6,9.8,10
10007158,University of Southampton,D,28,History,,,,3.75,6.6,3.6,11.05,10.85,9.75,6
10007158,University of Southampton,D,30,Philosophy,,,,0,3,2,3,2,7,5
10007158,University of Southampton,D,32,"Art and Design: History, Practice and Theory",,,,4.7,4,4.6,1.2,3.45,6.5,7.5
10007158,University of Southampton,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,7.8,7,8.5,8.9,6,2,3.2
10005700,SRUC,A,6,"Agriculture, Food and Veterinary Sciences",,,(joint submission with University of Edinburgh),0,0,0,0,0,0,0
10007803,University of St Andrews,A,1,Clinical Medicine,,,,4,2,3.3,5.1,8.8,14,5.5
10007803,University of St Andrews,A,4,"Psychology, Psychiatry and Neuroscience",,,,8.5,10.33,16,19.8,12.9,10.7,8
10007803,University of St Andrews,A,5,Biological Sciences,,,,20.48,33.6,22.15,22,30.75,20.3,17.6
10007803,University of St Andrews,B,7,Earth Systems and Environmental Sciences,,,,3.5,4.3,2,2,3.3,2.2,2
10007803,University of St Andrews,B,8,Chemistry,,,(joint submission with University of Edinburgh),27,48.5,26.1,37,42.25,38.6,31.5
10007803,University of St Andrews,B,9,Physics,,,,14,8.5,25.2,10.6,22.4,20.5,22.5
10007803,University of St Andrews,B,10,Mathematical Sciences,,,,7.56,9.3,7.45,12,10.65,8.9,7.35
10007803,University of St Andrews,B,11,Computer Science and Informatics,,,,4,8.7,9.75,7,6,13.05,6
10007803,University of St Andrews,C,14,Geography and Environmental Studies,,,,7,5.05,7.3,3.5,3.45,8.4,6.43
10007803,University of St Andrews,C,16,Economics and Econometrics,,,,4,2,4,2,2,3,1.8
10007803,University of St Andrews,C,17,Business and Management Studies,,,,4,9.34,4,2.6,4.5,8.5,2.7
10007803,University of St Andrews,C,19,Politics and International Studies,,,,12,21,16.8,22,18.85,15.8,14.5
10007803,University of St Andrews,C,22,Anthropology and Development Studies,,,,6.5,9,10,16,11,5,3.5
10007803,University of St Andrews,D,26,Modern Languages and Linguistics,,,,2.5,8.15,5.7,2.5,3.7,10.5,6.3
10007803,University of St Andrews,D,27,English Language and Literature,,,,18.5,13,6,6,5,12,3.95
10007803,University of St Andrews,D,28,History,,,,18.5,13.5,13.5,27,24.1,15.5,20.35
10007803,University of St Andrews,D,29,Classics,,,,7.2,3,4.7,5,2.3,5,6.75
10007803,University of St Andrews,D,30,Philosophy,,,,7.6,7.6,7.8,9.5,9.7,7,11
10007803,University of St Andrews,D,31,Theology and Religious Studies,,,,17,13,16,25.1,21.7,18.8,12.3
10007803,University of St Andrews,D,32,"Art and Design: History, Practice and Theory",,,,0.5,2,3.5,4,5,2.5,4
10007803,University of St Andrews,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,3,3,1,1.6,5,2,8.2
10037449,University of St Mark & St John,C,23,Education,,,,0,0,0,0,0,0,0
10037449,University of St Mark & St John,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,0,0,0,0,0,0,0
10007843,St Mary's University,C,20,Social Work and Social Policy,,,,0,0,0,0,0,0,2
10007843,St Mary's University,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,0,1,1,8,2,1,3
10007843,St Mary's University,D,27,English Language and Literature,,,,0,1,3,3,1,2,1
10007843,St Mary's University,D,31,Theology and Religious Studies,,,,0,2,0,4,3,3,1
10007782,St. George's Hospital Medical School,A,1,Clinical Medicine,,,,16.51,24.78,31.53,39.98,25.51,22.51,26
10007782,St. George's Hospital Medical School,A,2,"Public Health, Health Services and Primary Care",,,,2.49,2.73,3.96,0.51,0.49,3.47,0
10006299,Staffordshire University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,3,1,3,3,7,9,6
10006299,Staffordshire University,B,12,Engineering,,,,2,2,8,5,19,12,8
10006299,Staffordshire University,C,15,Archaeology,,,,0,0,0,1,0,3,2
10006299,Staffordshire University,C,17,Business and Management Studies,,,,7,1,4,2,1,1,0
10006299,Staffordshire University,C,20,Social Work and Social Policy,,,,1,0,4,2,4,6,2
10006299,Staffordshire University,D,32,"Art and Design: History, Practice and Theory",,,,0,0,0,0,0,1,0
10006299,Staffordshire University,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,4,2,3,2,1,5,4
10007804,University of Stirling,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,4,12,7.16,10,7.5,11.5,8.5
10007804,University of Stirling,A,4,"Psychology, Psychiatry and Neuroscience",,,,3,13,3,1.67,2.5,3,2.5
10007804,University of Stirling,A,6,"Agriculture, Food and Veterinary Sciences",,,,11.5,18,8,16,7,11,10
10007804,University of Stirling,B,11,Computer Science and Informatics,,,,2.5,7,4.33,8.5,4,1,3.5
10007804,University of Stirling,C,14,Geography and Environmental Studies,,,,5,13.5,10.17,12.5,8.5,14,10.5
10007804,University of Stirling,C,17,Business and Management Studies,,,,13,8.5,10.17,12.5,8.5,9,8.17
10007804,University of Stirling,C,18,Law,,,,2,2,3,3,0,5,2
10007804,University of Stirling,C,19,Politics and International Studies,,,,0,0,0,0.5,1,0,1.5
10007804,University of Stirling,C,20,Social Work and Social Policy,,,,9,7,7.84,8.33,8.5,8,14.5
10007804,University of Stirling,C,23,Education,,,,7,7,6.5,8.5,8,6.5,9.5
10007804,University of Stirling,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,4.5,1,3,4,4.5,6,3
10007804,University of Stirling,D,27,English Language and Literature,,,,7,6,6,7.5,6.5,6.5,6.34
10007804,University of Stirling,D,28,History,,,,8,7,2.5,3.5,5,3,2.33
10007804,University of Stirling,D,30,Philosophy,,,,9,13,10,11,14,1,3
10007804,University of Stirling,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,4.5,1,2,2,0,2.5,4.66
10008010,Stranmillis University College,C,23,Education,,,,0,0,0,0,0,0,0
10007805,University of Strathclyde,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,36,26,35,44,45,50,50
10007805,University of Strathclyde,B,8,Chemistry,,,,32,27,38,46,33,35,46
10007805,University of Strathclyde,B,9,Physics,,,,9,27,13,21,29,24,30
10007805,University of Strathclyde,B,10,Mathematical Sciences,,,,9,6,9,12,7,15,10
10007805,University of Strathclyde,B,11,Computer Science and Informatics,,,,4,6,10,6,4,13,6
10007805,University of Strathclyde,B,12,Engineering,,,,69,105,85,124,119,136,161
10007805,University of Strathclyde,C,13,"Architecture, Built Environment and Planning",,,,2,1,3,8,11,11,6
10007805,University of Strathclyde,C,17,Business and Management Studies,,,,19,21,26,33,27,25,39
10007805,University of Strathclyde,C,18,Law,,,,2,1,3,7,5,10.3,5
10007805,University of Strathclyde,C,19,Politics and International Studies,,,,3,2,3,1,2,1,2
10007805,University of Strathclyde,C,20,Social Work and Social Policy,,,,5,3,3,1,5,2.7,6
10007805,University of Strathclyde,C,23,Education,,,,5,2,0,4,3,7,6
10007805,University of Strathclyde,D,27,English Language and Literature,,,,3,2,5,3,4.5,8,5
10007805,University of Strathclyde,D,28,History,,,,6,1,2,7,5,4,7
10014001,University of Suffolk,C,20,Social Work and Social Policy,,,,0,0,0,0,0,0,1
10007159,University of Sunderland,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,3,4,10,10,10,6,9
10007159,University of Sunderland,B,11,Computer Science and Informatics,,,,1,2,3,3,1,6,1
10007159,University of Sunderland,B,12,Engineering,,,,0,0,1,0,2,2,0
10007159,University of Sunderland,C,20,Social Work and Social Policy,,,,0,4,1,3,1,0,2
10007159,University of Sunderland,C,23,Education,,,,1,3,4,1,2,2,3
10007159,University of Sunderland,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,0,1,1,2,4,1,0
10007159,University of Sunderland,D,27,English Language and Literature,,,,2,2,2,2,1,3,0
10007159,University of Sunderland,D,32,"Art and Design: History, Practice and Theory",,,,4,4,9,7,2,3,5
10007159,University of Sunderland,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,0,3,1,2,3,2,1
10007160,University of Surrey,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,77,88,84,78,72,81,80
10007160,University of Surrey,B,9,Physics,,,,20,21,15,24,11,11,14
10007160,University of Surrey,B,10,Mathematical Sciences,,,,2,3,7,4,3,7,4
10007160,University of Surrey,B,11,Computer Science and Informatics,,,,7,13,16,9,9,6,4
10007160,University of Surrey,B,12,Engineering,,,,84,86,116,89,104,81,99
10007160,University of Surrey,C,16,Economics and Econometrics,,,,7,0,1,4,7,1,7
10007160,University of Surrey,C,17,Business and Management Studies,,,,6,9,7,5,9,12,8
10007160,University of Surrey,C,18,Law,,,,4,2,2,2,4,3,2
10007160,University of Surrey,C,21,Sociology,,,,3,9,2,7,7,4,7
10007160,University of Surrey,C,23,Education,,,,1,0,3,0,0,3,4
10007160,University of Surrey,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,10,8,4,6,11,8,9
10007160,University of Surrey,D,25,Area Studies,,,,3,1,1,3,2,3,0
10007160,University of Surrey,D,27,English Language and Literature,,,,4,5,4,11,6,8,12
10007160,University of Surrey,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,3,8,11,5,7,6,5
10007806,University of Sussex,A,1,Clinical Medicine,,,,2,4,5,2,3,4,3
10007806,University of Sussex,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,(joint submission with University of Brighton),0,4,2,1,2,3,0
10007806,University of Sussex,A,4,"Psychology, Psychiatry and Neuroscience",,,,14,22,16,18,30,22,19
10007806,University of Sussex,A,5,Biological Sciences,,,,28,12,25,34,25,32,28
10007806,University of Sussex,B,8,Chemistry,,,,10,8,7,14,11,13,3
10007806,University of Sussex,B,9,Physics,,,,13,12,12,15,15,26,22
10007806,University of Sussex,B,10,Mathematical Sciences,,,,2,4,4,13,9,21,7
10007806,University of Sussex,B,11,Computer Science and Informatics,,,,10,9,8,14,5,10,14
10007806,University of Sussex,B,12,Engineering,,,,15,13,9,6,13,9,7
10007806,University of Sussex,C,14,Geography and Environmental Studies,,,,10,6,5,10,15,14,5
10007806,University of Sussex,C,16,Economics and Econometrics,,,,7,9,5,10,16,7,5
10007806,University of Sussex,C,17,Business and Management Studies,,,,11,13,15,18,17,15,13
10007806,University of Sussex,C,18,Law,,,,3,4,4,8,9,12,7
10007806,University of Sussex,C,19,Politics and International Studies,,,,4,8,7,6,8,6,1
10007806,University of Sussex,C,20,Social Work and Social Policy,,,,5,3,3,4,8,9,11
10007806,University of Sussex,C,21,Sociology,,,,5,4,2,5,5,3,7
10007806,University of Sussex,C,22,Anthropology and Development Studies,,,,16,12,13,15,7,12,10
10007806,University of Sussex,C,23,Education,,,,9,9,6,9,7,12,11
10007806,University of Sussex,D,25,Area Studies,,,,4,7,3,5,8,2,1
10007806,University of Sussex,D,27,English Language and Literature,,,,18,17,18,24,16,14,16
10007806,University of Sussex,D,28,History,,,,4,6,9,4,6,4,3
10007806,University of Sussex,D,30,Philosophy,,,,3,4,6,9,3,3,6
10007806,University of Sussex,D,32,"Art and Design: History, Practice and Theory",,,,5,7,3,8,2,1,3
10007806,University of Sussex,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,4,0,1,2,2,2,5
10007806,University of Sussex,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,4,12,10,13,12,6,1
10007855,Swansea University,A,2,"Public Health, Health Services and Primary Care",,,,4.5,5.5,8.5,3.5,3,8,9
10007855,Swansea University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,17,22,22.5,27.5,21.5,26.5,25.5
10007855,Swansea University,A,4,"Psychology, Psychiatry and Neuroscience",,,,6.5,5,5.5,5.5,2,8,11.5
10007855,Swansea University,B,7,Earth Systems and Environmental Sciences,,,,4,7.5,6,3,8,6,13
10007855,Swansea University,B,8,Chemistry,,,,0,0,0,0,0,0,0
10007855,Swansea University,B,9,Physics,,,,6,6,8,2,8,7,13
10007855,Swansea University,B,10,Mathematical Sciences,,,,3,3,6,4,5,4,7
10007855,Swansea University,B,11,Computer Science and Informatics,,,,11.5,5,6,5.5,5,5,3
10007855,Swansea University,B,12,Engineering,,,,45,49.5,58,34,50.5,65,60
10007855,Swansea University,C,14,Geography and Environmental Studies,,,,8,8,11,6,4,5,4
