Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Income source,Income for academic year 2013-14,Income for academic year 2014-15,Average income for academic years 2015-16 to 2019-20,Average income for academic years 2013-14 to 2019-20,Total income for academic years 2013-14 to 2019-20
10007760,Birkbeck College,C,18,Law,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007760,Birkbeck College,C,18,Law,,,,"UK industry, commerce and public corporations","70,729","54,481","5,520","21,830","152,813"
10007760,Birkbeck College,C,18,Law,,,,UK other sources,0,0,"17,525","12,518","87,626"
10007760,Birkbeck College,C,18,Law,,,,EU government bodies,"62,497","107,626","48,067","58,637","410,462"
10007760,Birkbeck College,C,18,Law,,,,EU-based charities (open competitive process),0,0,0,0,0
10007760,Birkbeck College,C,18,Law,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10007760,Birkbeck College,C,18,Law,,,,EU (excluding UK) other,0,0,0,0,0
10007760,Birkbeck College,C,18,Law,,,,Non-EU-based charities (open competitive process),0,0,"31,382","22,415","156,911"
10007760,Birkbeck College,C,18,Law,,,,Non-EU industry commerce and public corporations,0,0,0,0,0
10007760,Birkbeck College,C,18,Law,,,,Non-EU other,0,"34,091",0,"4,870","34,091"
10007760,Birkbeck College,C,18,Law,,,,Total income,"545,930","604,286","478,171","505,867","3,541,073"
10006840,University of Birmingham,C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","198,464","202,796","210,161","207,437","1,452,065"
10006840,University of Birmingham,C,18,Law,,,,UK-based charities (open competitive process),"18,216","40,393","74,062","61,274","428,920"
10006840,University of Birmingham,C,18,Law,,,,UK-based charities (other),"1,378","8,141","17,125","13,592","95,144"
10006840,University of Birmingham,C,18,Law,,,,"UK central government bodies/local authorities, health and hospital authorities",0,0,"20,900","14,928","104,500"
10006840,University of Birmingham,C,18,Law,,,,UK central government tax credits for research and development expenditure,0,"1,032",87,209,"1,468"
10006840,University of Birmingham,C,18,Law,,,,"UK industry, commerce and public corporations",0,0,"9,420","6,728","47,100"
10006840,University of Birmingham,C,18,Law,,,,UK other sources,0,"20,304","2,911","4,980","34,863"
10006840,University of Birmingham,C,18,Law,,,,EU government bodies,0,0,"378,792","270,565","1,893,961"
10006840,University of Birmingham,C,18,Law,,,,EU-based charities (open competitive process),0,0,"10,211","7,293","51,057"
10006840,University of Birmingham,C,18,Law,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10006840,University of Birmingham,C,18,Law,,,,EU (excluding UK) other,"27,818",0,"8,794","10,256","71,792"
10006840,University of Birmingham,C,18,Law,,,,Non-EU-based charities (open competitive process),0,0,"2,864","2,045","14,321"
10006840,University of Birmingham,C,18,Law,,,,Non-EU industry commerce and public corporations,0,0,318,227,"1,592"
10006840,University of Birmingham,C,18,Law,,,,Non-EU other,0,0,0,0,0
10006840,University of Birmingham,C,18,Law,,,,Total income,"245,876","272,666","735,648","599,540","4,196,783"
10007140,Birmingham City University,C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh",0,0,"2,000","1,428","10,000"
10007140,Birmingham City University,C,18,Law,,,,UK-based charities (open competitive process),0,0,0,0,0
10007140,Birmingham City University,C,18,Law,,,,UK-based charities (other),0,"3,000","4,800","3,857","27,000"
10007140,Birmingham City University,C,18,Law,,,,"UK central government bodies/local authorities, health and hospital authorities","8,000",0,"18,800","14,571","102,000"
10007140,Birmingham City University,C,18,Law,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007140,Birmingham City University,C,18,Law,,,,"UK industry, commerce and public corporations",0,0,0,0,0
10007140,Birmingham City University,C,18,Law,,,,UK other sources,0,0,0,0,0
10007140,Birmingham City University,C,18,Law,,,,EU government bodies,0,0,0,0,0
10007140,Birmingham City University,C,18,Law,,,,EU-based charities (open competitive process),0,0,0,0,0
10007140,Birmingham City University,C,18,Law,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10007140,Birmingham City University,C,18,Law,,,,EU (excluding UK) other,0,0,0,0,0
10007140,Birmingham City University,C,18,Law,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10007140,Birmingham City University,C,18,Law,,,,Non-EU industry commerce and public corporations,0,0,0,0,0
10007140,Birmingham City University,C,18,Law,,,,Non-EU other,0,0,0,0,0
10007140,Birmingham City University,C,18,Law,,,,Total income,"8,000","3,000","25,600","19,857","139,000"
10000824,Bournemouth University,C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","23,770","63,450","67,242","60,490","423,430"
10000824,Bournemouth University,C,18,Law,,,,UK-based charities (open competitive process),686,0,162,213,"1,497"
10000824,Bournemouth University,C,18,Law,,,,UK-based charities (other),0,0,26,19,133
10000824,Bournemouth University,C,18,Law,,,,"UK central government bodies/local authorities, health and hospital authorities","29,091","6,363",617,"5,506","38,543"
10000824,Bournemouth University,C,18,Law,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10000824,Bournemouth University,C,18,Law,,,,"UK industry, commerce and public corporations",0,0,"1,100",785,"5,500"
10000824,Bournemouth University,C,18,Law,,,,UK other sources,"34,174","9,303",905,"6,857","48,003"
10000824,Bournemouth University,C,18,Law,,,,EU government bodies,0,"33,528","66,355","52,186","365,306"
10000824,Bournemouth University,C,18,Law,,,,EU-based charities (open competitive process),0,0,0,0,0
10000824,Bournemouth University,C,18,Law,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10000824,Bournemouth University,C,18,Law,,,,EU (excluding UK) other,0,0,"11,679","8,342","58,398"
10000824,Bournemouth University,C,18,Law,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10000824,Bournemouth University,C,18,Law,,,,Non-EU industry commerce and public corporations,0,0,0,0,0
10000824,Bournemouth University,C,18,Law,,,,Non-EU other,0,"24,505","-1,631","2,335","16,346"
10000824,Bournemouth University,C,18,Law,,,,Total income,"87,721","137,149","146,457","136,736","957,156"
10007786,University of Bristol,C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","227,540","236,973","403,840","354,816","2,483,716"
10007786,University of Bristol,C,18,Law,,,,UK-based charities (open competitive process),"111,755","56,179","118,215","108,430","759,011"
10007786,University of Bristol,C,18,Law,,,,UK-based charities (other),0,0,0,0,0
10007786,University of Bristol,C,18,Law,,,,"UK central government bodies/local authorities, health and hospital authorities",0,"61,964","20,425","23,441","164,090"
10007786,University of Bristol,C,18,Law,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007786,University of Bristol,C,18,Law,,,,"UK industry, commerce and public corporations",0,0,0,0,0
10007786,University of Bristol,C,18,Law,,,,UK other sources,"16,552","5,877","1,014","3,928","27,502"
10007786,University of Bristol,C,18,Law,,,,EU government bodies,"231,346","212,999","77,267","118,668","830,682"
10007786,University of Bristol,C,18,Law,,,,EU-based charities (open competitive process),0,0,0,0,0
10007786,University of Bristol,C,18,Law,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10007786,University of Bristol,C,18,Law,,,,EU (excluding UK) other,0,0,0,0,0
10007786,University of Bristol,C,18,Law,,,,Non-EU-based charities (open competitive process),0,0,"1,203",859,"6,015"
10007786,University of Bristol,C,18,Law,,,,Non-EU industry commerce and public corporations,0,0,0,0,0
10007786,University of Bristol,C,18,Law,,,,Non-EU other,0,0,"1,422","1,016","7,113"
10007786,University of Bristol,C,18,Law,,,,Total income,"587,193","573,992","623,388","611,161","4,278,129"
10000961,Brunel University London,C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","4,000",0,0,571,"4,000"
10000961,Brunel University London,C,18,Law,,,,UK-based charities (open competitive process),0,0,"13,000","9,285","65,000"
10000961,Brunel University London,C,18,Law,,,,UK-based charities (other),0,0,0,0,0
10000961,Brunel University London,C,18,Law,,,,"UK central government bodies/local authorities, health and hospital authorities",0,0,0,0,0
10000961,Brunel University London,C,18,Law,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10000961,Brunel University London,C,18,Law,,,,"UK industry, commerce and public corporations",0,0,0,0,0
10000961,Brunel University London,C,18,Law,,,,UK other sources,0,0,0,0,0
10000961,Brunel University London,C,18,Law,,,,EU government bodies,"189,000","105,000","19,000","55,571","389,000"
10000961,Brunel University London,C,18,Law,,,,EU-based charities (open competitive process),0,0,0,0,0
10000961,Brunel University London,C,18,Law,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10000961,Brunel University London,C,18,Law,,,,EU (excluding UK) other,0,0,0,0,0
10000961,Brunel University London,C,18,Law,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10000961,Brunel University London,C,18,Law,,,,Non-EU industry commerce and public corporations,0,0,0,0,0
10000961,Brunel University London,C,18,Law,,,,Non-EU other,0,0,0,0,0
10000961,Brunel University London,C,18,Law,,,,Total income,"193,000","105,000","32,000","65,428","458,000"
10007788,University of Cambridge,C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","691,933","987,461","928,835","903,367","6,323,572"
10007788,University of Cambridge,C,18,Law,,,,UK-based charities (open competitive process),"44,554","32,886","167,941","131,021","917,147"
10007788,University of Cambridge,C,18,Law,,,,UK-based charities (other),"4,866","40,897","116,390","89,673","627,717"
10007788,University of Cambridge,C,18,Law,,,,"UK central government bodies/local authorities, health and hospital authorities","348,439","359,330","325,151","333,361","2,333,527"
10007788,University of Cambridge,C,18,Law,,,,UK central government tax credits for research and development expenditure,0,"282,182",985,"41,015","287,110"
10007788,University of Cambridge,C,18,Law,,,,"UK industry, commerce and public corporations",0,"42,406","8,118","11,857","83,000"
10007788,University of Cambridge,C,18,Law,,,,UK other sources,"32,133",0,"7,766","10,137","70,964"
10007788,University of Cambridge,C,18,Law,,,,EU government bodies,"203,557","205,597","375,878","326,935","2,288,546"
10007788,University of Cambridge,C,18,Law,,,,EU-based charities (open competitive process),0,0,"44,244","31,603","221,224"
10007788,University of Cambridge,C,18,Law,,,,"EU industry, commerce and public corporations","24,356",0,"7,785","9,040","63,282"
10007788,University of Cambridge,C,18,Law,,,,EU (excluding UK) other,0,0,"18,994","13,567","94,971"
10007788,University of Cambridge,C,18,Law,,,,Non-EU-based charities (open competitive process),"80,526","177,443","150,393","144,276","1,009,937"
10007788,University of Cambridge,C,18,Law,,,,Non-EU industry commerce and public corporations,"388,184","40,594","2,175","62,808","439,656"
10007788,University of Cambridge,C,18,Law,,,,Non-EU other,"27,643","190,493","224,258","191,346","1,339,428"
10007788,University of Cambridge,C,18,Law,,,,Total income,"1,846,191","2,359,289","2,378,920","2,300,011","16,100,081"
10001143,Canterbury Christ Church University,C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh",0,0,0,0,0
10001143,Canterbury Christ Church University,C,18,Law,,,,UK-based charities (open competitive process),"2,479",0,609,789,"5,524"
10001143,Canterbury Christ Church University,C,18,Law,,,,UK-based charities (other),0,0,0,0,0
10001143,Canterbury Christ Church University,C,18,Law,,,,"UK central government bodies/local authorities, health and hospital authorities","4,605",0,"11,343","8,760","61,323"
10001143,Canterbury Christ Church University,C,18,Law,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10001143,Canterbury Christ Church University,C,18,Law,,,,"UK industry, commerce and public corporations",0,0,0,0,0
10001143,Canterbury Christ Church University,C,18,Law,,,,UK other sources,0,"28,815","2,891","6,181","43,270"
10001143,Canterbury Christ Church University,C,18,Law,,,,EU government bodies,"281,916","69,567","8,056","55,966","391,767"
10001143,Canterbury Christ Church University,C,18,Law,,,,EU-based charities (open competitive process),0,0,0,0,0
10001143,Canterbury Christ Church University,C,18,Law,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10001143,Canterbury Christ Church University,C,18,Law,,,,EU (excluding UK) other,0,"66,327","-6,665","4,714","33,000"
10001143,Canterbury Christ Church University,C,18,Law,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10001143,Canterbury Christ Church University,C,18,Law,,,,Non-EU industry commerce and public corporations,0,0,0,0,0
10001143,Canterbury Christ Church University,C,18,Law,,,,Non-EU other,0,0,"1,205",860,"6,026"
10001143,Canterbury Christ Church University,C,18,Law,,,,Total income,"289,000","164,709","17,440","77,272","540,910"
10007814,Cardiff University / Prifysgol Caerdydd,C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","22,376","42,826","309,726","230,548","1,613,836"
10007814,Cardiff University / Prifysgol Caerdydd,C,18,Law,,,,UK-based charities (open competitive process),"19,761","75,918","104,371","88,219","617,537"
10007814,Cardiff University / Prifysgol Caerdydd,C,18,Law,,,,UK-based charities (other),0,0,212,152,"1,064"
10007814,Cardiff University / Prifysgol Caerdydd,C,18,Law,,,,"UK central government bodies/local authorities, health and hospital authorities","28,060","16,084","6,961","11,278","78,950"
10007814,Cardiff University / Prifysgol Caerdydd,C,18,Law,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007814,Cardiff University / Prifysgol Caerdydd,C,18,Law,,,,"UK industry, commerce and public corporations",0,0,0,0,0
10007814,Cardiff University / Prifysgol Caerdydd,C,18,Law,,,,UK other sources,"2,924","4,193","4,116","3,957","27,700"
10007814,Cardiff University / Prifysgol Caerdydd,C,18,Law,,,,EU government bodies,"305,822","195,989","156,293","183,325","1,283,277"
10007814,Cardiff University / Prifysgol Caerdydd,C,18,Law,,,,EU-based charities (open competitive process),0,0,"3,552","2,537","17,762"
10007814,Cardiff University / Prifysgol Caerdydd,C,18,Law,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10007814,Cardiff University / Prifysgol Caerdydd,C,18,Law,,,,EU (excluding UK) other,"18,096",-157,0,"2,562","17,939"
10007814,Cardiff University / Prifysgol Caerdydd,C,18,Law,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10007814,Cardiff University / Prifysgol Caerdydd,C,18,Law,,,,Non-EU industry commerce and public corporations,0,0,409,292,"2,047"
10007814,Cardiff University / Prifysgol Caerdydd,C,18,Law,,,,Non-EU other,0,0,0,0,0
10007814,Cardiff University / Prifysgol Caerdydd,C,18,Law,,,,Total income,"397,039","334,853","585,644","522,873","3,660,112"
10007141,University of Central Lancashire,C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh",0,0,0,0,0
10007141,University of Central Lancashire,C,18,Law,,,,UK-based charities (open competitive process),"14,378","21,824","5,205","8,889","62,227"
10007141,University of Central Lancashire,C,18,Law,,,,UK-based charities (other),0,0,0,0,0
10007141,University of Central Lancashire,C,18,Law,,,,"UK central government bodies/local authorities, health and hospital authorities","52,813","82,500","75,121","72,988","510,922"
10007141,University of Central Lancashire,C,18,Law,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007141,University of Central Lancashire,C,18,Law,,,,"UK industry, commerce and public corporations","6,082","17,683","7,661","8,867","62,074"
10007141,University of Central Lancashire,C,18,Law,,,,UK other sources,0,0,0,0,0
10007141,University of Central Lancashire,C,18,Law,,,,EU government bodies,"19,111","9,797","-2,041","2,671","18,702"
10007141,University of Central Lancashire,C,18,Law,,,,EU-based charities (open competitive process),0,0,0,0,0
10007141,University of Central Lancashire,C,18,Law,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10007141,University of Central Lancashire,C,18,Law,,,,EU (excluding UK) other,0,0,0,0,0
10007141,University of Central Lancashire,C,18,Law,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10007141,University of Central Lancashire,C,18,Law,,,,Non-EU industry commerce and public corporations,0,0,0,0,0
10007141,University of Central Lancashire,C,18,Law,,,,Non-EU other,0,"19,661","1,830","4,115","28,811"
10007141,University of Central Lancashire,C,18,Law,,,,Total income,"92,384","151,465","87,777","97,533","682,736"
10001478,"City, University of London",C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","64,297","42,370","6,997","20,236","141,652"
10001478,"City, University of London",C,18,Law,,,,UK-based charities (open competitive process),0,0,0,0,0
10001478,"City, University of London",C,18,Law,,,,UK-based charities (other),"15,523","-3,023",0,"1,785","12,500"
10001478,"City, University of London",C,18,Law,,,,"UK central government bodies/local authorities, health and hospital authorities",0,0,0,0,0
10001478,"City, University of London",C,18,Law,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10001478,"City, University of London",C,18,Law,,,,"UK industry, commerce and public corporations",0,0,0,0,0
10001478,"City, University of London",C,18,Law,,,,UK other sources,0,0,"1,956","1,397","9,781"
10001478,"City, University of London",C,18,Law,,,,EU government bodies,"6,817",0,"48,265","35,449","248,144"
10001478,"City, University of London",C,18,Law,,,,EU-based charities (open competitive process),0,0,0,0,0
10001478,"City, University of London",C,18,Law,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10001478,"City, University of London",C,18,Law,,,,EU (excluding UK) other,0,0,0,0,0
10001478,"City, University of London",C,18,Law,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10001478,"City, University of London",C,18,Law,,,,Non-EU industry commerce and public corporations,0,0,0,0,0
10001478,"City, University of London",C,18,Law,,,,Non-EU other,0,0,"2,235","1,597","11,179"
10001478,"City, University of London",C,18,Law,,,,Total income,"86,637","39,347","59,454","60,465","423,256"
10001883,De Montfort University,C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","3,114","1,773","9,065","7,173","50,213"
10001883,De Montfort University,C,18,Law,,,,UK-based charities (open competitive process),"22,699","2,488","3,493","6,093","42,656"
10001883,De Montfort University,C,18,Law,,,,UK-based charities (other),0,0,36,26,184
10001883,De Montfort University,C,18,Law,,,,"UK central government bodies/local authorities, health and hospital authorities",0,0,"4,070","2,907","20,353"
10001883,De Montfort University,C,18,Law,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10001883,De Montfort University,C,18,Law,,,,"UK industry, commerce and public corporations",0,0,0,0,0
10001883,De Montfort University,C,18,Law,,,,UK other sources,"37,897","7,603","2,543","8,316","58,215"
10001883,De Montfort University,C,18,Law,,,,EU government bodies,0,0,0,0,0
10001883,De Montfort University,C,18,Law,,,,EU-based charities (open competitive process),0,0,0,0,0
10001883,De Montfort University,C,18,Law,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10001883,De Montfort University,C,18,Law,,,,EU (excluding UK) other,0,0,-451,-322,"-2,257"
10001883,De Montfort University,C,18,Law,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10001883,De Montfort University,C,18,Law,,,,Non-EU industry commerce and public corporations,0,0,0,0,0
10001883,De Montfort University,C,18,Law,,,,Non-EU other,0,0,276,197,"1,380"
10001883,De Montfort University,C,18,Law,,,,Total income,"63,710","11,864","19,034","24,392","170,744"
10007852,University of Dundee,C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","216,735","64,744","80,824","97,942","685,599"
10007852,University of Dundee,C,18,Law,,,,UK-based charities (open competitive process),0,0,949,677,"4,745"
10007852,University of Dundee,C,18,Law,,,,UK-based charities (other),0,0,0,0,0
10007852,University of Dundee,C,18,Law,,,,"UK central government bodies/local authorities, health and hospital authorities",0,"55,575","102,273","80,992","566,944"
10007852,University of Dundee,C,18,Law,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007852,University of Dundee,C,18,Law,,,,"UK industry, commerce and public corporations",0,0,0,0,0
10007852,University of Dundee,C,18,Law,,,,UK other sources,0,0,0,0,0
10007852,University of Dundee,C,18,Law,,,,EU government bodies,"247,273","202,421","53,700","102,599","718,195"
10007852,University of Dundee,C,18,Law,,,,EU-based charities (open competitive process),0,0,0,0,0
10007852,University of Dundee,C,18,Law,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10007852,University of Dundee,C,18,Law,,,,EU (excluding UK) other,0,0,"10,229","7,306","51,148"
10007852,University of Dundee,C,18,Law,,,,Non-EU-based charities (open competitive process),"30,832","14,943",16,"6,551","45,858"
10007852,University of Dundee,C,18,Law,,,,Non-EU industry commerce and public corporations,-640,0,739,436,"3,058"
10007852,University of Dundee,C,18,Law,,,,Non-EU other,0,0,0,0,0
10007852,University of Dundee,C,18,Law,,,,Total income,"494,200","337,683","248,732","296,506","2,075,547"
10007143,University of Durham,C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","18,345","30,533","113,772","88,248","617,739"
10007143,University of Durham,C,18,Law,,,,UK-based charities (open competitive process),"87,575","94,474","20,982","40,994","286,962"
10007143,University of Durham,C,18,Law,,,,UK-based charities (other),0,0,"2,466","1,761","12,333"
10007143,University of Durham,C,18,Law,,,,"UK central government bodies/local authorities, health and hospital authorities","36,804","5,510","8,289","11,965","83,759"
10007143,University of Durham,C,18,Law,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007143,University of Durham,C,18,Law,,,,"UK industry, commerce and public corporations",0,"5,697","6,567","5,505","38,535"
10007143,University of Durham,C,18,Law,,,,UK other sources,0,0,0,0,0
